date,repository,stars,timestamp,url
2024-06-08,mamba-org/mamba,6420,20240608222506,https://web.archive.org/web/20240608222506id_/https://github.com/mamba-org/mamba
2024-06-19,prefix-dev/pixi,2143,20240619161731,https://web.archive.org/web/20240619161731id_/https://github.com/prefix-dev/pixi
2024-06-22,conda/conda,6209,20240622112739,https://web.archive.org/web/20240622112739id_/https://github.com/conda/conda
2024-07-09,prefix-dev/pixi,2288,20240709124009,https://web.archive.org/web/20240709124009id_/https://github.com/prefix-dev/pixi
2024-07-12,mamba-org/mamba,6558,20240712091250,https://web.archive.org/web/20240712091250id_/https://github.com/mamba-org/mamba
2024-07-23,conda/conda,6260,20240723122438,https://web.archive.org/web/20240723122438id_/https://github.com/conda/conda
2024-08-01,mamba-org/mamba,6612,20240801084353,https://web.archive.org/web/20240801084353id_/https://github.com/mamba-org/mamba
2024-08-03,conda/conda,6283,20240803170410,https://web.archive.org/web/20240803170410id_/https://github.com/conda/conda
2024-08-09,prefix-dev/pixi,2620,20240809123226,https://web.archive.org/web/20240809123226id_/https://github.com/prefix-dev/pixi
2024-09-09,mamba-org/mamba,6721,20240909013224,https://web.archive.org/web/20240909013224id_/https://github.com/mamba-org/mamba
2024-09-09,prefix-dev/pixi,2889,20240909013304,https://web.archive.org/web/20240909013304id_/https://github.com/prefix-dev/pixi
2024-09-18,conda/conda,6347,20240918221521,https://web.archive.org/web/20240918221521id_/https://github.com/conda/conda
2024-10-01,conda/conda,6377,20241001015717,https://web.archive.org/web/20241001015717id_/https://github.com/conda/conda
2024-10-03,mamba-org/mamba,6791,20241003063930,https://web.archive.org/web/20241003063930id_/https://github.com/mamba-org/mamba
2024-10-07,prefix-dev/pixi,3043,20241007022514,https://web.archive.org/web/20241007022514id_/https://github.com/prefix-dev/pixi
2024-11-13,mamba-org/mamba,6918,20241113090502,https://web.archive.org/web/20241113090502id_/https://github.com/mamba-org/mamba
2024-11-14,prefix-dev/pixi,3313,20241114070447,https://web.archive.org/web/20241114070447id_/https://github.com/prefix-dev/pixi
2024-11-19,conda/conda,6456,20241119021944,https://web.archive.org/web/20241119021944id_/https://github.com/conda/conda
2024-12-03,mamba-org/mamba,6978,20241203060659,https://web.archive.org/web/20241203060659id_/https://github.com/mamba-org/mamba
2024-12-06,prefix-dev/pixi,3455,20241206012815,https://web.archive.org/web/20241206012815id_/https://github.com/prefix-dev/pixi
2024-12-16,conda/conda,6509,20241216164736,https://web.archive.org/web/20241216164736id_/https://github.com/conda/conda
2025-01-05,conda/conda,6537,20250105051755,https://web.archive.org/web/20250105051755id_/https://github.com/conda/conda
2025-01-09,prefix-dev/pixi,3650,20250109042439,https://web.archive.org/web/20250109042439id_/https://github.com/prefix-dev/pixi/
2025-01-10,mamba-org/mamba,7063,20250110191047,https://web.archive.org/web/20250110191047id_/https://github.com/mamba-org/mamba
2025-02-08,prefix-dev/pixi,3830,20250208162708,https://web.archive.org/web/20250208162708id_/https://github.com/prefix-dev/pixi
2025-02-10,conda/conda,6597,20250210005330,https://web.archive.org/web/20250210005330id_/https://github.com/conda/conda
2025-02-10,mamba-org/mamba,7117,20250210173548,https://web.archive.org/web/20250210173548id_/https://github.com/mamba-org/mamba
2025-03-04,mamba-org/mamba,7175,20250304001619,https://web.archive.org/web/20250304001619id_/https://github.com/mamba-org/mamba
2025-03-17,prefix-dev/pixi,4026,20250317224556,https://web.archive.org/web/20250317224556id_/https://github.com/prefix-dev/pixi
2025-03-18,conda/conda,6738,20250318051127,https://web.archive.org/web/20250318051127id_/https://github.com/conda/conda
2025-04-01,prefix-dev/pixi,4128,20250401003221,https://web.archive.org/web/20250401003221id_/https://github.com/prefix-dev/pixi
2025-04-02,mamba-org/mamba,7258,20250402061821,https://web.archive.org/web/20250402061821id_/https://github.com/mamba-org/mamba
2025-04-15,conda/conda,6816,20250415002131,https://web.archive.org/web/20250415002131id_/https://github.com/conda/conda
2025-05-04,mamba-org/mamba,7349,20250504230322,https://web.archive.org/web/20250504230322id_/https://github.com/mamba-org/mamba
2025-05-09,prefix-dev/pixi,4378,20250509160819,https://web.archive.org/web/20250509160819id_/https://github.com/prefix-dev/pixi
2025-05-14,conda/conda,6887,20250514184644,https://web.archive.org/web/20250514184644id_/https://github.com/conda/conda
2025-06-02,mamba-org/mamba,7402,20250602124207,https://web.archive.org/web/20250602124207id_/https://github.com/mamba-org/mamba
